v8-version,8,4,371,23,-node.84,0
code-creation,Builtin,3,4881,0x7ff6e82a65c0,108,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,4896,0x7ff6e82a6640,3433,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,4911,0x7ff6e82a73c0,16732,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,4981,0x7ff6e82ab520,245,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,4998,0x7ff6e82ab620,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,5016,0x7ff6e82ab680,20,LoadIC_StringLength
code-creation,Builtin,3,5034,0x7ff6e82ab6a0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,5055,0x7ff6e82ab6c0,3112,LoadIC_NoFeedback
code-creation,Builtin,3,5078,0x7ff6e82ac300,40,StoreGlobalIC_Slow
code-creation,Builtin,3,5097,0x7ff6e82ac340,7336,StoreIC_NoFeedback
code-creation,Builtin,3,5112,0x7ff6e82ae000,188,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,5127,0x7ff6e82ae0c0,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,5142,0x7ff6e82ae120,348,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,5158,0x7ff6e82ae280,348,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,5174,0x7ff6e82ae3e0,348,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,5191,0x7ff6e82ae540,348,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,5207,0x7ff6e82ae6a0,6864,StoreFastElementIC_Standard
code-creation,Builtin,3,5222,0x7ff6e82b0180,10824,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,5238,0x7ff6e82b2be0,6860,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,5254,0x7ff6e82b46c0,6572,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,5270,0x7ff6e82b6080,9544,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,5285,0x7ff6e82b85e0,22096,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,5302,0x7ff6e82bdc40,9544,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,5318,0x7ff6e82c01a0,12568,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,5335,0x7ff6e82c32c0,760,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,5350,0x7ff6e82c35c0,176,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,5365,0x7ff6e82c3680,80,HasIndexedInterceptorIC
code-creation,Builtin,3,5380,0x7ff6e82c36e0,160,EnqueueMicrotask
code-creation,Builtin,3,5394,0x7ff6e82c37a0,8,RunMicrotasksTrampoline
code-creation,Builtin,3,5409,0x7ff6e82c37c0,3904,RunMicrotasks
code-creation,Builtin,3,5423,0x7ff6e82c4720,2374,HasProperty
code-creation,Builtin,3,5438,0x7ff6e82c5080,1128,DeleteProperty
code-creation,Builtin,3,5452,0x7ff6e82c5500,1859,CopyDataProperties
code-creation,Builtin,3,5467,0x7ff6e82c5c60,9010,SetDataProperties
